postal_code,date_valid_std,avg_temperature_air_2m_f
83262,2016-04-02,47.77
58433,2016-04-02,33.91
56453,2016-04-02,24.06
97108,2016-04-02,51.36
89316,2016-04-02,47.53
97022,2016-04-02,53.93
99359,2016-04-02,60.03
95925,2016-04-02,56.29
68026,2016-04-02,45.52
68025,2016-04-02,45.52
80304,2016-04-02,49.65
80306,2016-04-02,49.65
80502,2016-04-02,49.65
80302,2016-04-02,49.65
63446,2016-04-02,41.91
81631,2016-04-02,37.59
68348,2016-04-02,46.58
84629,2016-04-02,43.42
68926,2016-04-02,51.11
95852,2016-04-02,62.56
95866,2016-04-02,62.56
95815,2016-04-02,62.56
95851,2016-04-02,62.56
95853,2016-04-02,62.56
94204,2016-04-02,62.56
95406,2016-04-02,55.87
89318,2016-04-02,44.78
95690,2016-04-02,60.27
95680,2016-04-02,60.27
94230,2016-04-02,61.54
95832,2016-04-02,61.54
94283,2016-04-02,61.54
94205,2016-04-02,61.54
95823,2016-04-02,61.54
62548,2016-04-02,39.83
95255,2016-04-02,58.72
95364,2016-04-02,40.03
84632,2016-04-02,40.12
68350,2016-04-02,48.38
68418,2016-04-02,46.81
68343,2016-04-02,47.53
84638,2016-04-02,49.74
61854,2016-04-02,37.92
64655,2016-04-02,41.43
61813,2016-04-02,39.15
68452,2016-04-02,49.23
69038,2016-04-02,49.45
62688,2016-04-02,40.81
68946,2016-04-02,51.59
94535,2016-04-02,59.65
94585,2016-04-02,59.65
68368,2016-04-02,46.99
96133,2016-04-02,44.65
68324,2016-04-02,46.74
69042,2016-04-02,51.9
62351,2016-04-02,41.75
80621,2016-04-02,49.34
95661,2016-04-02,63.43
62541,2016-04-02,39.88
68939,2016-04-02,49.96
68845,2016-04-02,49.19
95901,2016-04-02,63.52
95425,2016-04-02,56.36
50535,2016-04-02,38.09
52635,2016-04-02,39.29
61488,2016-04-02,37.38
61425,2016-04-02,39.93
68065,2016-04-02,46.55
81610,2016-04-02,35.02
69150,2016-04-02,48.75
68070,2016-04-02,46.59
84069,2016-04-02,45.37
51502,2016-04-02,46.01
51501,2016-04-02,46.01
61526,2016-04-02,36.89
52754,2016-04-02,38.28
95607,2016-04-02,58.58
61244,2016-04-02,37.07
95932,2016-04-02,62.21
68653,2016-04-02,47.27
68405,2016-04-02,47.37
68335,2016-04-02,49.16
68057,2016-04-02,44.63
68865,2016-04-02,49.8
68017,2016-04-02,46.27
68626,2016-04-02,46.12
68632,2016-04-02,46.11
68031,2016-04-02,44.62
68072,2016-04-02,44.62
68629,2016-04-02,45.23
61469,2016-04-02,38.8
68649,2016-04-02,45.83
84046,2016-04-02,40.26
61480,2016-04-02,38.49
68403,2016-04-02,45.82
95975,2016-04-02,57.95
81640,2016-04-02,40.56
96122,2016-04-02,49.11
84059,2016-04-02,46.48
84057,2016-04-02,46.48
84049,2016-04-02,44.67
68048,2016-04-02,45.7
80726,2016-04-02,51.1
50048,2016-04-02,40.62
50447,2016-04-02,33.69
82201,2016-04-02,44.67
82937,2016-04-02,40.52
95428,2016-04-02,59.04
89834,2016-04-02,48.62
51465,2016-04-02,39.62
51537,2016-04-02,41.01
51015,2016-04-02,41.07
61279,2016-04-02,37.34
52501,2016-04-02,40.68
95938,2016-04-02,62.75
52347,2016-04-02,36.34
95978,2016-04-02,49.53
50106,2016-04-02,35.93
82938,2016-04-02,38.71
52060,2016-04-02,35.06
68818,2016-04-02,49.5
52646,2016-04-02,39.58
84044,2016-04-02,46.76
52335,2016-04-02,37.35
50251,2016-04-02,38.39
52748,2016-04-02,35.7
52202,2016-04-02,35.14
68022,2016-04-02,45.17
61413,2016-04-02,37.36
68654,2016-04-02,48.26
84060,2016-04-02,38.86
84045,2016-04-02,49.03
84043,2016-04-02,49.03
84005,2016-04-02,49.03
82059,2016-04-02,38.18
68062,2016-04-02,43.01
50470,2016-04-02,33.68
51030,2016-04-02,41.68
69366,2016-04-02,47.65
52210,2016-04-02,35.38
95569,2016-04-02,56.45
50675,2016-04-02,34.81
68770,2016-04-02,44.11
68749,2016-04-02,43.45
50435,2016-04-02,33.39
50206,2016-04-02,35.16
51401,2016-04-02,39.56
69356,2016-04-02,48.88
68768,2016-04-02,44.16
50217,2016-04-02,38.87
50421,2016-04-02,33.77
51366,2016-04-02,37.03
95525,2016-04-02,52.42
95635,2016-04-02,58.38
51201,2016-04-02,37.2
57072,2016-04-02,43.33
51023,2016-04-02,41.27
57059,2016-04-02,43.5
82213,2016-04-02,46.27
95528,2016-04-02,56.33
82227,2016-04-02,41.15
57574,2016-04-02,49.7
50124,2016-04-02,38.66
68030,2016-04-02,42.78
50542,2016-04-02,35.74
57103,2016-04-02,39.91
56119,2016-04-02,35.09
83276,2016-04-02,41.87
97625,2016-04-02,49.96
56167,2016-04-02,35.61
69216,2016-04-02,50.04
57340,2016-04-02,41.23
50467,2016-04-02,33.14
56185,2016-04-02,34.9
83633,2016-04-02,53.77
95567,2016-04-02,51.7
56144,2016-04-02,37.2
57001,2016-04-02,40.85
52069,2016-04-02,35.19
50432,2016-04-02,31.77
50459,2016-04-02,32.99
57548,2016-04-02,48.56
82401,2016-04-02,48.85
57014,2016-04-02,42.26
57555,2016-04-02,50.6
57716,2016-04-02,49.91
68710,2016-04-02,43.23
51050,2016-04-02,39.6
51364,2016-04-02,34.82
57732,2016-04-02,46.13
83333,2016-04-02,47.58
56230,2016-04-02,31.06
57006,2016-04-02,36.96
57007,2016-04-02,36.96
56232,2016-04-02,33.24
57273,2016-04-02,33.48
97530,2016-04-02,57.41
57213,2016-04-02,34.8
83256,2016-04-02,47.74
83025,2016-04-02,38.48
83261,2016-04-02,38.39
51241,2016-04-02,38.67
56088,2016-04-02,33.49
83402,2016-04-02,48.49
97636,2016-04-02,54.99
83647,2016-04-02,53.1
51011,2016-04-02,40.97
83601,2016-04-02,43.82
97415,2016-04-02,50.49
82190,2016-04-02,38.01
56536,2016-04-02,24.16
57272,2016-04-02,36.4
97709,2016-04-02,55.91
57426,2016-04-02,36.81
57760,2016-04-02,52.04
83661,2016-04-02,54.42
57661,2016-04-02,51.64
97623,2016-04-02,51.44
58475,2016-04-02,34.88
58474,2016-04-02,32.29
58533,2016-04-02,48.12
97344,2016-04-02,53.46
58041,2016-04-02,30.16
59749,2016-04-02,45.64
59750,2016-04-02,39.79
59105,2016-04-02,58.84
59755,2016-04-02,45.97
99324,2016-04-02,60
59647,2016-04-02,45.81
57433,2016-04-02,35.75
57642,2016-04-02,48.62
59214,2016-04-02,52.69
98944,2016-04-02,58.4
58541,2016-04-02,46.63
58554,2016-04-02,45.88
58077,2016-04-02,29.45
59871,2016-04-02,38.18
56585,2016-04-02,22.7
97112,2016-04-02,50.86
97135,2016-04-02,50.86
97426,2016-04-02,56.89
82710,2016-04-02,53.65
97420,2016-04-02,51.72
56231,2016-04-02,29.87
58031,2016-04-02,28.69
57430,2016-04-02,34.1
83843,2016-04-02,53.91
59761,2016-04-02,37.46
97045,2016-04-02,55.66
58463,2016-04-02,38.3
59336,2016-04-02,54.46
98807,2016-04-02,55.51
98303,2016-04-02,52.69
98821,2016-04-02,54.2
98581,2016-04-02,51.94
97448,2016-04-02,54.62
98936,2016-04-02,59.14
58572,2016-04-02,40.33
58443,2016-04-02,29.45
97149,2016-04-02,48.99
97144,2016-04-02,50.29
58570,2016-04-02,47.34
99302,2016-04-02,61.6
99301,2016-04-02,61.6
58228,2016-04-02,22.96
58207,2016-04-02,22.96
97136,2016-04-02,50.11
98117,2016-04-02,50.4
98113,2016-04-02,50.4
98103,2016-04-02,50.4
98107,2016-04-02,50.4
59827,2016-04-02,37.14
99019,2016-04-02,55.12
97210,2016-04-02,55.72
98619,2016-04-02,52.17
59074,2016-04-02,52.94
98321,2016-04-02,52.26
